N (Total available nodes),m (no of malicous nodes),n (Size of the committee),qp (Quorum percentage) ,How many malicious nodes can be in the committee ,m C  max no. of malicious nodes in the committee ways ,N C n,Probability that a malicious cator can control a mojority of nodes in a randomly selected committee
54,10,10,50.10%,5,252,23930713170,1.05304E-08
55,10,10,50.10%,5,252,29248649430,8.61578E-09
56,10,10,50.10%,5,252,35607051480,7.07725E-09
57,10,10,50.10%,5,252,43183019880,5.83563E-09
58,10,10,50.10%,5,252,52179482355,4.82948E-09
59,10,10,50.10%,5,252,62828356305,4.01093E-09
60,10,10,50.10%,5,252,75394027566,3.34244E-09
61,10,10,50.10%,5,252,90177170226,2.7945E-09
62,10,10,50.10%,5,252,1.07519E+11,2.34377E-09
63,10,10,50.10%,5,252,1.27806E+11,1.97175E-09
64,10,10,50.10%,5,252,1.51473E+11,1.66366E-09
65,10,10,50.10%,5,252,1.79014E+11,1.40771E-09
66,10,10,50.10%,5,252,2.10981E+11,1.19442E-09
67,10,10,50.10%,5,252,2.47995E+11,1.01615E-09
68,10,10,50.10%,5,252,2.90752E+11,8.66717E-10
69,10,10,50.10%,5,252,3.40032E+11,7.41106E-10
70,10,10,50.10%,5,252,3.96705E+11,6.35233E-10
71,10,10,50.10%,5,252,4.61738E+11,5.45764E-10
72,10,10,50.10%,5,252,5.36212E+11,4.69963E-10
73,10,10,50.10%,5,252,6.21325E+11,4.05585E-10
74,10,10,50.10%,5,252,7.18407E+11,3.50776E-10
75,10,10,50.10%,5,252,8.28931E+11,3.04006E-10
76,10,10,50.10%,5,252,9.54527E+11,2.64005E-10
77,10,10,50.10%,5,252,1.09699E+12,2.29719E-10
78,10,10,50.10%,5,252,1.25832E+12,2.00268E-10
79,10,10,50.10%,5,252,1.44068E+12,1.74917E-10
80,10,10,50.10%,5,252,1.64649E+12,1.53053E-10
81,10,10,50.10%,5,252,1.87839E+12,1.34157E-10
82,10,10,50.10%,5,252,2.13928E+12,1.17797E-10
83,10,10,50.10%,5,252,2.43233E+12,1.03604E-10
84,10,10,50.10%,5,252,2.76103E+12,9.12704E-11
85,10,10,50.10%,5,252,3.12916E+12,8.05327E-11
86,10,10,50.10%,5,252,3.54089E+12,7.11685E-11
87,10,10,50.10%,5,252,4.00075E+12,6.29882E-11
88,10,10,50.10%,5,252,4.51367E+12,5.58304E-11
89,10,10,50.10%,5,252,5.08502E+12,4.95573E-11
90,10,10,50.10%,5,252,5.72065E+12,4.4051E-11
91,10,10,50.10%,5,252,6.4269E+12,3.92102E-11
92,10,10,50.10%,5,252,7.21067E+12,3.49482E-11
93,10,10,50.10%,5,252,8.07942E+12,3.11904E-11
94,10,10,50.10%,5,252,9.04126E+12,2.78722E-11
95,10,10,50.10%,5,252,1.01049E+13,2.49383E-11
96,10,10,50.10%,5,252,1.12799E+13,2.23406E-11
97,10,10,50.10%,5,252,1.25765E+13,2.00374E-11
98,10,10,50.10%,5,252,1.40056E+13,1.79928E-11
99,10,10,50.10%,5,252,1.55793E+13,1.61753E-11
100,10,10,50.10%,5,252,1.73103E+13,1.45578E-11
